from,to,type,weight,low,high
R,Mbuti,edge,0.0280012937698015,NA,NA
R,NAF,edge,0.0280012937704329,NA,NA
NAF,ANE0,edge,0.00615119729701845,NA,NA
ANE0,WHG,edge,0.0237880041087849,NA,NA
ANE0,ANE1,edge,0.0133055721451272,NA,NA
ANE1,ANE1_1,edge,0.000689374405053897,NA,NA
ANE1,MA1,edge,0.117555589249909,NA,NA
NAF,ANA0,edge,0.0207764580274084,NA,NA
ANA0,ANA0_1,edge,0.00116053925109771,NA,NA
ANA0_1,admix1,admix,0.56474144186472,0.564741267210806,0.564743329612398
ANE1_1,admix1,admix,0.43525855813528,0.435256670387602,0.435258732789194
ANA0,admix2_1,edge,-1.26908936460186e-21,NA,NA
admix1,admix2_3,edge,0.00363881952919849,NA,NA
admix2_3,admix2_4,edge,0.00164351341598238,NA,NA
admix2_2,admix2,admix,0.244560564924975,0.244554006707927,0.244562473521125
admix2_4,admix2,admix,0.755439435075025,0.755437526478875,0.755445993292073
admix2_1,admix3_1,edge,0.0108588764425781,NA,NA
admix3_1,admix2_2,edge,0.000172245072871001,NA,NA
admix3_1,admix3_2,edge,0.000120012987454614,NA,NA
admix2_3,admix3_3,edge,0.00160204891330937,NA,NA
admix3_3,USR1,edge,0.122084843242717,NA,NA
admix3_3,admix3_4,edge,0.000251386802345585,NA,NA
admix3_2,admix3,admix,0.408614380192124,0.408605815275135,0.408616634996596
admix3_4,admix3,admix,0.591385619807876,0.591383365003404,0.591394184724865
admix4_1,EastBaikal_N,edge,0.00984193523625798,NA,NA
admix2,admix4_3,edge,0.00287987706982358,NA,NA
admix4_3,irk030,edge,0.11808610054766,NA,NA
admix4_2,admix4,admix,0.298238034370358,0.298236161093631,0.298242955241197
admix4_4,admix4,admix,0.701761965629642,0.701757044758803,0.701763838906369
admix4,WestBaikal_LNBA,edge,0.00247567510422072,NA,NA
admix2_1,admix5_1,edge,1.45212712637796e-20,NA,NA
admix5_1,admix4_1,edge,0.00172138640974268,NA,NA
admix5_1,admix5_2,edge,0.000786037041790422,NA,NA
admix4_3,admix5_3,edge,0.000154087459989242,NA,NA
admix5_3,admix4_4,edge,0.00121919536311712,NA,NA
admix5_3,admix5_4,edge,0.000103614876621721,NA,NA
admix5_2,admix5,admix,0.733638403993515,0.733635996054007,0.733641471495592
admix5_4,admix5,admix,0.266361596006485,0.266358528504408,0.266364003945993
admix3,admix6_1,edge,0.000718788224319114,NA,NA
admix6_1,Dzhylinda_1,edge,0.120635638669456,NA,NA
admix6_1,admix6_2,edge,0.000810678348855492,NA,NA
admix5,admix6_3,edge,0.00146042378698892,NA,NA
admix6_3,WestBaikal_EN,edge,0.000241033010919785,NA,NA
admix6_3,admix6_4,edge,7.69693549703676e-05,NA,NA
admix6_2,admix6,admix,0.764449745926545,0.764437768729672,0.764463316032578
admix6_4,admix6,admix,0.235550254073455,0.235536683967422,0.235562231270328
admix4_1,admix7_1,edge,0.00216874239598981,NA,NA
admix7_1,admix4_2,edge,0.000220201212443707,NA,NA
admix7_1,admix7_2,edge,0.00122722915097113,NA,NA
admix7_3,Yakutia_MN,edge,0.119431768975213,NA,NA
admix7_3,admix7_4,edge,0.00248924560078481,NA,NA
admix7_2,admix7,admix,0.412507184648348,0.412501236894346,0.412515018051647
admix7_4,admix7,admix,0.587492815351652,0.587484981948353,0.587498763105655
admix7,Yakutia_LN,edge,0.00721211475900325,NA,NA
admix6,Saqqaq_0,edge,0.00138723709382552,NA,NA
Saqqaq_0,admix7_3,edge,0.00106402914437834,NA,NA
Saqqaq_0,Saqqaq,edge,0.115013451719595,NA,NA
